,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Sep 2022
Share Capital +,31,30,30,30,30,30,30,30
Reserves,"9,495","8,760","9,942","9,088","9,231","9,783","10,650","10,735"
Borrowings +,50,0,0,0,74,54,73,62
Other Liabilities +,"2,848","3,000","3,946","3,583","3,977","4,898","4,650","5,037"
Total Liabilities,"12,425","11,791","13,919","12,701","13,311","14,764","15,402","15,862"
Fixed Assets +,"1,149","1,514","1,318","1,176","1,342","1,241","1,212","1,627"
CWIP,151,129,313,644,487,488,605,350
Investments,"4,620","3,918","5,232","4,045","4,033","5,150","5,521","4,980"
Other Assets +,"6,505","6,231","7,056","6,836","7,450","7,886","8,064","8,906"
Total Assets,"12,425","11,791","13,919","12,701","13,311","14,764","15,402","15,862"
